Ranking,Region,Per Pupil Spending (2022)
1,New York,30282
2,Vermont,24666
3,New Jersey,23870
4,Connecticut,23455
5,Massachusetts,22913
6,Alaska,21325
7,Illinois,20887
8,Pennsylvania,20005
9,Maine,19887
10,Wyoming,19887
11,New Hampshire,19633
12,Rhode Island,19582
13,Washington,19523
14,Maryland,18343
15,Oregon,18137
16,Hawaii,17989
17,North Dakota,17921
18,Minnesota,17197
19,Kansas,16882
20,Nebraska,16642
21,Delaware,16637
22,California,16285
23,Ohio,16234
24,Wisconsin,15966
25,Colorado,15231
26,Virginia,15196
27,Iowa,15112
28,Montana,15035
29,Michigan,14549
30,West Virginia,14522
31,Kentucky,14042
32,South Carolina,14038
33,Texas,13684
34,Missouri,13436
35,Georgia,13267
36,New Mexico,13229
37,Indiana,13189
38,South Dakota,13034
39,Louisiana,12993
40,Arkansas,12386
41,Alabama,12092
42,Mississippi,11929
43,Florida,11773
44,Tennessee,11607
45,Nevada,11120
46,North Carolina,10918
47,Oklahoma,10506
48,Utah,9479
49,Arizona,9072
50,Idaho,8748
