Ranking,Region,Public School Teacher Salaries
1,New York,92222
2,Massachusetts,88903
3,California,87275
4,Washington,81586
5,Connecticut,81185
6,New Jersey,79045
7,Rhode Island,76852
8,Maryland,75766
9,Alaska,73722
10,Pennsylvania,72428
11,Illinois,72301
12,Oregon,69671
13,Minnesota,68491
14,Hawaii,67000
15,Delaware,65647
16,Michigan,65198
17,Ohio,63153
18,Vermont,62866
19,New Hampshire,62783
20,Georgia,61249
21,Wyoming,60820
22,Wisconsin,60453
23,Virginia,59965
24,Iowa,59262
25,Texas,58887
26,Maine,58757
27,Utah,58619
28,Colorado,58481
29,Nevada,57804
30,Nebraska,57420
31,Alabama,55834
32,North Dakota,55769
33,Kansas,54815
34,Oklahoma,54804
35,Arizona,54580
36,Kentucky,54574
37,New Mexico,54272
38,Idaho,54232
39,Indiana,54126
40,North Carolina,53644
41,Montana,53628
42,Tennessee,53619
43,South Carolina,53393
44,Arkansas,52486
45,Missouri,52481
46,Louisiana,52376
47,Florida,51230
48,West Virginia,50315
49,South Dakota,49761
50,Mississippi,47162
