Region,Education Index Score
Alabama,34.46
Alaska,48.82
Arizona,44.37
Arkansas,30.87
California,49.08
Colorado,69.3
Connecticut,72.06
Delaware,58.05
Florida,53.26
Georgia,47.87
Hawaii,55.97
Idaho,46.18
Illinois,57.2
Indiana,42.6
Iowa,48.06
Kansas,51.39
Kentucky,35.7
Louisiana,27.36
Maine,55.94
Maryland,76.73
Massachusetts,83.03
Michigan,50.41
Minnesota,63.98
Mississippi,25.64
Missouri,47.31
Montana,54.99
Nebraska,52.24
Nevada,35.7
New Hampshire,67.2
New Jersey,68.85
New Mexico,36.99
New York,57.25
North Carolina,51.3
North Dakota,52.11
Ohio,46.39
Oklahoma,35.32
Oregon,57.22
Pennsylvania,48.78
Rhode Island,58.61
South Carolina,42.09
South Dakota,46.34
Tennessee,41.16
Texas,40.14
Utah,63.31
Vermont,71.4
Virginia,67.33
Washington,63.12
West Virginia,22.4
Wisconsin,54.52
Wyoming,51.64
